1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
261	-0.806531	10.884927	2.510230	0.038980	2.7
262	-0.741428	11.871976	2.434855	0.034774	2.7
263	-0.777758	12.871974	2.362971	0.031439	3.7
264	-0.777316	12.112886	2.417140	0.038306	4.6
265	-0.782563	11.355586	2.473715	0.018266	5.9
266	-0.774190	10.598315	2.532999	0.028328	3.0
267	-0.782462	11.370924	2.472542	0.023859	2.7
268	-0.800840	11.292580	2.478541	0.037054	3.8
269	-0.780237	10.556793	2.536331	0.022106	2.8
270	-0.759299	11.309889	2.477213	0.027989	2.5
271	-0.770218	10.622124	2.531091	0.036447	2.4
272	-0.815313	11.603491	2.454905	0.010441	2.4
273	-0.763729	11.587679	2.456096	0.020271	2.4
274	-0.761312	11.026855	2.499105	0.025387	2.4
275	-0.803190	10.368955	2.551519	0.017598	2.5
276	-0.781273	10.708162	2.524223	0.028568	2.4
277	-0.768190	11.697753	2.447828	0.031783	2.4
278	-0.757991	12.349808	2.399968	0.015981	2.6
279	-0.763501	11.737213	2.444878	0.026762	2.4
280	-0.732438	12.160121	2.413697	0.024202	2.9
281	-0.765788	13.139264	2.344470	0.035980	2.8
282	-0.781200	12.946605	2.357776	0.013414	2.6
283	-0.773693	12.206280	2.410342	0.018896	2.4
284	-0.781551	13.128883	2.345183	0.014188	2.5
285	-0.782554	12.835880	2.365491	0.051822	2.5
286	-0.770339	13.386532	2.327611	0.028510	2.3
287	-0.768019	14.386531	2.261835	0.030117	2.7
288	-0.763057	13.628079	2.311375	0.025164	2.5
289	-0.803220	14.597836	2.248409	0.041158	2.3
290	-0.787304	13.914215	2.292433	0.025129	2.2
291	-0.772448	13.698644	2.306675	0.028300	2.3
292	-0.809398	13.176781	2.341897	0.028705	2.1
293	-0.788893	13.755712	2.302887	0.013375	2.2
294	-0.787200	13.877581	2.294840	0.031598	2.2
295	-0.746119	13.642298	2.310427	0.023997	2.2
296	-0.768024	14.636505	2.245969	0.060748	2.1
297	-0.789731	13.882342	2.294527	0.052377	2.2
298	-0.763228	14.882342	2.230581	0.030741	2.3
299	-0.761739	15.839476	2.172628	0.025218	2.4
300	-0.792985	16.834474	2.115491	0.038207	2.3
301	-0.789778	17.833781	2.061053	0.024682	2.2
302	-0.791935	17.774362	2.064212	0.031298	2.3
303	-0.780246	17.423024	2.083087	0.049045	2.4
304	-0.787781	16.663900	2.125072	0.027604	2.4
305	-0.791587	15.910876	2.168426	0.019936	2.3
306	-0.743021	15.713116	2.180106	0.021535	2.3
307	-0.780962	15.102853	2.216957	0.066607	2.3
308	-0.813871	15.748858	2.177986	0.015013	2.3
309	-0.795064	14.993979	2.223663	0.023348	1.7
310	-0.805196	15.557402	2.189392	0.025018	2.3
311	-0.789724	16.556193	2.131166	0.013734	2.3
312	-0.808917	16.912243	2.111151	0.034077	2.4
313	-0.749619	16.579116	2.129866	0.035376	2.7
314	-0.837697	17.575265	2.074865	0.019441	2.9
315	-0.793915	16.867625	2.113639	0.013690	2.3
316	-0.772202	16.168503	2.153395	0.018877	2.3
317	-0.780996	15.797603	2.175100	0.037546	2.3
318	-0.820454	16.702950	2.122871	0.016774	2.6
319	-0.777992	15.996817	2.163388	0.020072	2.6
320	-0.768260	15.340896	2.202436	0.030412	2.4
321	-0.800738	14.621533	2.246913	0.019351	2.2
322	-0.787101	15.598250	2.186948	0.049995	2.3
323	-0.808473	14.878307	2.230832	0.028042	2.3
324	-0.778914	14.119183	2.279053	0.022865	2.3
325	-0.766807	15.091323	2.217666	0.028326	2.2
326	-0.759315	14.335238	2.265118	0.040751	2.3
327	-0.765151	15.326989	2.203279	0.025891	2.3
328	-0.764189	16.326957	2.144254	0.018251	2.3
329	-0.819159	15.649315	2.183901	0.018407	2.4
330	-0.784831	16.352953	2.142762	0.036348	2.3
331	-0.791249	15.830868	2.173136	0.020754	2.3
332	-0.832370	16.829160	2.115788	0.019275	2.3
333	-0.779968	16.104978	2.157082	0.026490	2.4
334	-0.791943	17.053945	2.103290	0.020219	2.3
335	-0.760804	16.306476	2.145431	0.042629	2.5
336	-0.792521	15.649790	2.183873	0.021477	2.4
337	-0.782087	14.891277	2.230026	0.022238	2.4
338	-0.744137	15.108250	2.216626	0.014753	2.3
339	-0.814296	15.302642	2.204757	0.022988	2.2
340	-0.775618	15.983686	2.164157	0.021873	2.4
341	-0.793852	16.935150	2.109877	0.015049	2.4
342	-0.817656	17.876904	2.058767	0.019785	2.3
343	-0.807534	17.786709	2.063554	0.044602	2.3
344	-0.765370	17.029060	2.104666	0.019176	2.5
