1:ItNr	2:Metric	2:Metric0	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient||	Time0[ms]	Time[ms]
0	-0.996760	-0.996760	0.000000	9727.746784	0.000514	0.000514	1.1	1424.5
1	-0.997131	-0.997131	0.000000	9727.746784	0.000299	0.000299	1.1	150.4
2	-0.996812	-0.996812	1.000000	9285.576491	0.000585	0.000585	1.1	151.1
3	-0.995888	-0.995888	2.000000	8881.855773	0.000784	0.000784	1.1	150.7
4	-0.996620	-0.996620	3.000000	8511.778449	0.000510	0.000510	1.1	151.7
5	-0.996773	-0.996773	4.000000	8171.307310	0.000513	0.000513	1.1	152.2
6	-0.996625	-0.996625	5.000000	7857.026259	0.000512	0.000512	1.1	152.7
7	-0.996521	-0.996521	6.000000	7566.025286	0.000770	0.000770	1.1	150.2
8	-0.997041	-0.997041	7.000000	7295.810097	0.000651	0.000651	1.1	150.6
9	-0.996957	-0.996957	8.000000	7044.230438	0.000446	0.000446	1.1	150.8
10	-0.997602	-0.997602	9.000000	6809.422757	0.000327	0.000327	1.1	151.3
11	-0.997431	-0.997431	10.000000	6589.763958	0.000315	0.000315	1.1	150.8
12	-0.998062	-0.998062	10.998613	6384.110583	0.000184	0.000184	1.1	152.1
13	-0.998066	-0.998066	11.996708	6191.001868	0.000189	0.000189	1.1	151.3
14	-0.997966	-0.997966	12.984948	6010.975368	0.000342	0.000342	1.0	152.2
15	-0.997854	-0.997854	13.405479	5937.504347	0.000224	0.000224	1.1	152.2
16	-0.998047	-0.998047	14.405431	5769.812127	0.000263	0.000263	1.1	150.5
17	-0.997437	-0.997437	15.405429	5611.324685	0.000471	0.000471	1.1	150.0
18	-0.997726	-0.997726	16.405429	5461.311042	0.000373	0.000373	1.1	152.3
19	-0.997963	-0.997963	17.405429	5319.109505	0.000234	0.000234	1.1	151.6
20	-0.998174	-0.998174	18.405429	5184.125330	0.000175	0.000175	1.1	150.5
21	-0.998170	-0.998170	18.317360	5195.737484	0.000253	0.000253	1.3	151.9
22	-0.998203	-0.998203	18.083552	5226.819815	0.000163	0.000163	1.1	150.2
23	-0.997801	-0.997801	19.083421	5096.438336	0.000280	0.000280	1.3	150.3
24	-0.997377	-0.997377	20.083299	4972.402142	0.000350	0.000350	1.2	151.8
25	-0.998001	-0.998001	21.083298	4854.246055	0.000245	0.000245	1.1	152.4
26	-0.998133	-0.998133	20.724436	4895.996262	0.000158	0.000158	1.1	150.3
27	-0.998281	-0.998281	20.453540	4927.991268	0.000152	0.000152	1.1	151.1
28	-0.997871	-0.997871	21.399265	4818.071315	0.000304	0.000304	1.1	152.2
29	-0.998193	-0.998193	22.395348	4707.478822	0.000211	0.000211	1.1	154.4
30	-0.998142	-0.998142	23.395346	4601.443632	0.000202	0.000202	1.1	150.6
31	-0.998466	-0.998466	24.211681	4518.360651	0.000172	0.000172	1.1	151.9
32	-0.998130	-0.998130	25.194590	4422.220971	0.000271	0.000271	1.1	152.4
33	-0.998213	-0.998213	25.081319	4433.091057	0.000135	0.000135	1.1	151.5
34	-0.998171	-0.998171	26.081199	4338.943949	0.000170	0.000170	1.1	151.3
35	-0.998195	-0.998195	26.084123	4338.674475	0.000190	0.000190	1.1	150.8
36	-0.998233	-0.998233	26.137029	4333.804819	0.000216	0.000216	1.0	151.3
37	-0.998234	-0.998234	27.060550	4250.527389	0.000278	0.000278	1.3	152.7
38	-0.998161	-0.998161	27.040847	4252.270656	0.000206	0.000206	1.1	152.4
39	-0.998391	-0.998391	28.038099	4165.795334	0.000187	0.000187	1.1	151.2
40	-0.998297	-0.998297	28.836863	4099.027694	0.000156	0.000156	1.2	151.0
41	-0.998040	-0.998040	29.336350	4058.353109	0.000436	0.000436	1.1	152.2
42	-0.998180	-0.998180	28.997134	4085.887882	0.000243	0.000243	1.1	151.1
43	-0.998153	-0.998153	29.997134	4005.767931	0.000257	0.000257	1.1	151.4
44	-0.998290	-0.998290	30.996269	3928.795002	0.000214	0.000214	1.1	149.3
45	-0.998312	-0.998312	31.912934	3860.732442	0.000230	0.000230	1.1	152.1
46	-0.998435	-0.998435	32.828202	3795.086465	0.000181	0.000181	1.1	152.6
47	-0.998458	-0.998458	33.813209	3726.887834	0.000156	0.000156	1.1	150.9
48	-0.998300	-0.998300	34.804671	3660.673569	0.000249	0.000249	1.1	149.9
49	-0.998150	-0.998150	34.889684	3655.105362	0.000166	0.000166	1.2	149.7
50	-0.998657	-0.998657	35.163611	3637.278283	0.000133	0.000133	1.1	152.2
51	-0.998310	-0.998310	35.775507	3598.077655	0.000175	0.000175	1.1	153.8
52	-0.998603	-0.998603	35.579008	3610.573769	0.000225	0.000225	1.2	151.4
53	-0.998524	-0.998524	36.561379	3548.953922	0.000123	0.000123	1.3	150.8
54	-0.998299	-0.998299	36.690196	3541.029454	0.000152	0.000152	1.1	151.2
55	-0.997908	-0.997908	36.636868	3544.305776	0.000416	0.000416	1.2	154.1
56	-0.998079	-0.998079	36.277846	3566.521761	0.000321	0.000321	1.1	153.7
57	-0.998111	-0.998111	37.076328	3517.486224	0.000294	0.000294	1.1	150.9
58	-0.998479	-0.998479	38.076328	3457.944841	0.000243	0.000243	1.1	153.1
59	-0.997991	-0.997991	37.843251	3471.641666	0.000427	0.000427	1.1	152.4
60	-0.998097	-0.998097	38.843251	3413.629416	0.000264	0.000264	1.1	150.4
61	-0.998202	-0.998202	39.843251	3357.524107	0.000182	0.000182	1.1	151.4
62	-0.998229	-0.998229	40.654672	3313.336599	0.000229	0.000229	1.1	151.0
63	-0.998572	-0.998572	41.651268	3260.631243	0.000244	0.000244	1.3	154.5
64	-0.998704	-0.998704	42.495719	3217.267018	0.000099	0.000099	1.1	153.1
65	-0.998185	-0.998185	42.775675	3203.144203	0.000559	0.000559	1.1	151.8
66	-0.998045	-0.998045	43.562744	3164.095394	0.000425	0.000425	1.2	149.0
67	-0.998221	-0.998221	43.357174	3174.202192	0.000171	0.000171	1.1	150.1
68	-0.998350	-0.998350	43.259186	3179.042472	0.000308	0.000308	1.1	151.9
69	-0.998212	-0.998212	44.252611	3130.643805	0.000206	0.000206	1.1	151.2
70	-0.998502	-0.998502	44.966623	3096.758223	0.000161	0.000161	1.1	150.7
71	-0.998507	-0.998507	45.743321	3060.720960	0.000140	0.000140	1.1	152.4
72	-0.998297	-0.998297	46.121899	3043.458015	0.000452	0.000452	0.9	148.4
73	-0.997961	-0.997961	46.156392	3041.894847	0.000333	0.000333	0.9	132.3
74	-0.998325	-0.998325	45.796012	3058.306590	0.000221	0.000221	1.0	134.9
75	-0.998462	-0.998462	46.795652	3013.212141	0.000281	0.000281	1.1	150.2
76	-0.998106	-0.998106	46.480508	3027.284316	0.000489	0.000489	1.1	151.3
77	-0.998653	-0.998653	47.477266	2983.219029	0.000151	0.000151	1.1	152.4
78	-0.997861	-0.997861	47.151118	2997.495686	0.000423	0.000423	1.1	152.2
79	-0.998236	-0.998236	48.151109	2954.149050	0.000545	0.000545	1.1	150.5
80	-0.998579	-0.998579	49.010225	2917.897829	0.000143	0.000143	1.1	150.7
81	-0.998518	-0.998518	49.258423	2907.589938	0.000128	0.000128	1.2	152.3
82	-0.998503	-0.998503	50.117104	2872.483153	0.000135	0.000135	1.1	150.7
83	-0.998348	-0.998348	50.255965	2866.885340	0.000111	0.000111	1.0	151.8
84	-0.998343	-0.998343	50.298846	2865.161149	0.000268	0.000268	1.1	150.8
85	-0.998268	-0.998268	50.762063	2846.666823	0.000178	0.000178	1.6	152.5
86	-0.998302	-0.998302	50.846044	2843.339316	0.000177	0.000177	1.1	153.1
87	-0.998416	-0.998416	51.304677	2825.303855	0.000143	0.000143	1.1	150.8
88	-0.998426	-0.998426	51.775952	2807.008039	0.000171	0.000171	1.1	150.2
89	-0.998392	-0.998392	52.190937	2791.092599	0.000534	0.000534	1.1	150.9
90	-0.998447	-0.998447	53.005004	2760.390138	0.000170	0.000170	1.1	151.6
91	-0.998636	-0.998636	53.853455	2729.101574	0.000142	0.000142	1.1	151.6
92	-0.998620	-0.998620	53.886990	2727.879457	0.000213	0.000213	1.3	151.7
93	-0.998455	-0.998455	54.258071	2714.428897	0.000198	0.000198	1.1	150.4
94	-0.998536	-0.998536	54.338165	2711.543099	0.000232	0.000232	1.1	152.7
95	-0.998397	-0.998397	53.977774	2724.576509	0.000401	0.000401	1.1	151.9
96	-0.998371	-0.998371	54.977774	2688.716331	0.000198	0.000198	1.1	151.1
97	-0.998730	-0.998730	55.977774	2653.787855	0.000165	0.000165	1.1	149.9
98	-0.998548	-0.998548	56.960219	2620.345157	0.000149	0.000149	1.1	152.8
99	-0.998624	-0.998624	56.630546	2631.472969	0.000147	0.000147	1.1	151.2
100	-0.998337	-0.998337	57.041345	2617.621240	0.000137	0.000137	1.0	150.0
101	-0.998749	-0.998749	56.895369	2622.526678	0.000146	0.000146	1.1	150.8
102	-0.998231	-0.998231	56.649210	2630.840461	0.000221	0.000221	1.1	150.5
103	-0.998689	-0.998689	57.588893	2599.383625	0.000138	0.000138	1.1	152.3
104	-0.998390	-0.998390	58.420497	2572.165750	0.000127	0.000127	1.1	152.0
105	-0.998384	-0.998384	58.504590	2569.445144	0.000136	0.000136	1.1	150.8
106	-0.998676	-0.998676	58.200785	2579.301236	0.000183	0.000183	1.1	150.7
107	-0.998625	-0.998625	58.256625	2577.483981	0.000207	0.000207	1.1	151.1
108	-0.998375	-0.998375	59.082648	2550.898212	0.000194	0.000194	1.1	151.0
109	-0.998743	-0.998743	60.082617	2519.438699	0.000132	0.000132	1.1	150.7
110	-0.998492	-0.998492	60.230136	2514.863248	0.000133	0.000133	1.1	151.3
111	-0.998158	-0.998158	59.889075	2525.466926	0.000291	0.000291	1.1	153.2
112	-0.998621	-0.998621	60.888491	2494.644601	0.000189	0.000189	1.1	151.5
113	-0.998602	-0.998602	60.528100	2505.672057	0.000132	0.000132	1.1	150.7
114	-0.998315	-0.998315	60.204394	2515.660459	0.000138	0.000138	1.1	150.2
115	-0.998649	-0.998649	60.633558	2502.435114	0.000292	0.000292	1.1	150.1
116	-0.998631	-0.998631	60.345871	2511.285200	0.000114	0.000114	1.1	152.1
117	-0.998575	-0.998575	60.052326	2520.380260	0.000187	0.000187	1.5	152.2
118	-0.998303	-0.998303	60.507255	2506.312868	0.000202	0.000202	1.1	151.0
119	-0.998507	-0.998507	61.096891	2488.312036	0.000159	0.000159	1.1	150.4
120	-0.998693	-0.998693	60.890789	2494.574605	0.000145	0.000145	1.1	151.2
121	-0.998727	-0.998727	61.819965	2466.587396	0.000189	0.000189	1.1	153.2
122	-0.998696	-0.998696	61.469384	2477.072974	0.000172	0.000172	1.1	150.0
123	-0.998760	-0.998760	62.332042	2451.430163	0.000105	0.000105	1.1	151.0
124	-0.998444	-0.998444	62.121143	2457.650075	0.000190	0.000190	1.0	148.1
125	-0.998742	-0.998742	62.074613	2459.026592	0.000114	0.000114	1.1	150.9
126	-0.998635	-0.998635	61.943569	2462.911646	0.000147	0.000147	1.0	150.1
127	-0.998511	-0.998511	62.058173	2459.513315	0.000161	0.000161	1.2	151.5
128	-0.998290	-0.998290	62.052473	2459.682112	0.000297	0.000297	1.1	151.3
129	-0.998656	-0.998656	61.695060	2470.312996	0.000274	0.000274	1.1	150.7
130	-0.998496	-0.998496	62.695059	2440.797391	0.000172	0.000172	1.1	151.4
131	-0.998696	-0.998696	62.344079	2451.076118	0.000185	0.000185	1.1	152.3
132	-0.998575	-0.998575	63.339392	2422.150294	0.000125	0.000125	1.1	150.7
133	-0.998526	-0.998526	63.940230	2405.016819	0.000317	0.000317	1.1	150.6
134	-0.998371	-0.998371	63.583895	2415.148671	0.000346	0.000346	1.1	153.8
135	-0.998499	-0.998499	64.583883	2386.929343	0.000188	0.000188	1.1	151.9
136	-0.998608	-0.998608	65.583845	2359.362557	0.000212	0.000212	1.1	151.4
137	-0.998543	-0.998543	65.224312	2369.200504	0.000152	0.000152	1.1	151.7
138	-0.998855	-0.998855	66.110800	2345.090183	0.000129	0.000129	1.5	151.0
139	-0.998565	-0.998565	66.182184	2343.170046	0.000177	0.000177	1.1	151.5
140	-0.998763	-0.998763	65.824886	2352.812559	0.000156	0.000156	1.1	150.7
141	-0.998618	-0.998618	66.253669	2341.250352	0.000127	0.000127	1.1	150.4
142	-0.998430	-0.998430	66.127457	2344.641851	0.000144	0.000144	1.1	150.7
143	-0.998665	-0.998665	65.922316	2350.175336	0.000130	0.000130	1.1	152.0
144	-0.998574	-0.998574	66.627844	2331.253099	0.000224	0.000224	1.1	153.0
145	-0.998558	-0.998558	66.301408	2339.970082	0.000241	0.000241	1.1	151.4
146	-0.998622	-0.998622	67.031635	2320.559916	0.000136	0.000136	1.5	152.0
147	-0.998503	-0.998503	66.725851	2328.648627	0.000138	0.000138	1.1	166.5
148	-0.998506	-0.998506	66.774478	2327.358548	0.000178	0.000178	1.1	150.9
149	-0.998526	-0.998526	66.807549	2326.481996	0.000293	0.000293	1.1	150.3
150	-0.998696	-0.998696	66.684754	2329.740031	0.000213	0.000213	1.1	151.9
151	-0.998697	-0.998697	66.324395	2339.354112	0.000209	0.000209	1.1	150.8
152	-0.998837	-0.998837	67.290829	2313.747465	0.000124	0.000124	1.0	153.3
153	-0.998808	-0.998808	68.197164	2290.237419	0.000164	0.000164	1.1	149.7
154	-0.998513	-0.998513	69.026870	2269.130128	0.000163	0.000163	1.1	150.5
155	-0.998551	-0.998551	68.782003	2275.318846	0.000190	0.000190	1.1	150.0
156	-0.998533	-0.998533	68.421659	2284.487736	0.000183	0.000183	1.2	152.3
157	-0.998594	-0.998594	68.223503	2289.561324	0.000233	0.000233	1.0	152.7
158	-0.998575	-0.998575	67.865057	2298.796508	0.000162	0.000162	1.1	151.6
159	-0.998685	-0.998685	67.550266	2306.968587	0.000136	0.000136	1.1	150.9
160	-0.998709	-0.998709	67.825516	2299.819826	0.000156	0.000156	1.5	151.7
161	-0.998814	-0.998814	68.522656	2281.910427	0.000109	0.000109	1.1	152.7
162	-0.998758	-0.998758	68.359977	2286.064615	0.000232	0.000232	1.1	151.4
163	-0.998715	-0.998715	68.099393	2292.750544	0.000111	0.000111	1.1	151.3
164	-0.998439	-0.998439	68.219981	2289.651707	0.000175	0.000175	1.1	152.7
165	-0.998652	-0.998652	68.968104	2270.612291	0.000117	0.000117	1.1	151.5
166	-0.998662	-0.998662	69.104522	2267.174582	0.000126	0.000126	1.1	150.5
167	-0.998683	-0.998683	68.953366	2270.984308	0.000134	0.000134	1.4	151.0
168	-0.998481	-0.998481	69.041925	2268.750732	0.000389	0.000389	1.1	151.2
169	-0.998313	-0.998313	68.682417	2277.845404	0.000153	0.000153	1.2	152.4
170	-0.998708	-0.998708	68.322867	2287.014387	0.000196	0.000196	1.1	152.7
