1:ItNr	2:Metric	2:Metric0	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient||	Time0[ms]	Time[ms]
299	-0.995150	-0.995150	0.250691	1192.601048	0.000420	0.000420	1.0	152.1
300	-0.995278	-0.995278	0.108002	1200.662976	0.000467	0.000467	1.0	150.7
301	-0.995729	-0.995729	0.248454	1192.726626	0.000322	0.000322	1.2	151.7
302	-0.995133	-0.995133	0.406186	1183.937981	0.000528	0.000528	1.1	150.4
303	-0.996106	-0.996106	0.226624	1193.953256	0.000361	0.000361	1.1	154.4
304	-0.996740	-0.996740	0.079148	1202.306473	0.000325	0.000325	1.1	151.4
305	-0.996363	-0.996363	0.066770	1203.012944	0.000303	0.000303	1.1	150.8
306	-0.993837	-0.993837	0.000000	1206.837933	0.000326	0.000326	1.1	150.4
307	-0.993816	-0.993816	0.000000	1206.837933	0.000419	0.000419	1.3	152.1
308	-0.994934	-0.994934	0.018593	1205.770361	0.000207	0.000207	1.1	151.8
309	-0.996182	-0.996182	0.000000	1206.837933	0.000310	0.000310	1.6	151.4
310	-0.996095	-0.996095	0.000796	1206.792163	0.000324	0.000324	1.1	152.0
311	-0.996297	-0.996297	0.061593	1203.308636	0.000352	0.000352	1.1	151.2
312	-0.995284	-0.995284	0.000000	1206.837933	0.000457	0.000457	1.1	165.3
313	-0.997420	-0.997420	0.232472	1193.624391	0.000234	0.000234	1.4	151.8
314	-0.995806	-0.995806	0.339369	1187.645103	0.000366	0.000366	1.1	151.9
315	-0.995930	-0.995930	0.410287	1183.711202	0.000338	0.000338	1.3	151.5
316	-0.994397	-0.994397	0.373906	1185.726039	0.000969	0.000969	1.2	154.1
317	-0.996174	-0.996174	0.549420	1176.068607	0.000374	0.000374	1.1	151.1
318	-0.996479	-0.996479	0.305926	1189.509251	0.000337	0.000337	1.0	151.4
319	-0.995531	-0.995531	0.491696	1179.227396	0.000337	0.000337	1.1	151.5
320	-0.995885	-0.995885	0.286998	1190.566968	0.000185	0.000185	1.1	152.3
321	-0.996741	-0.996741	0.197215	1195.609742	0.000244	0.000244	1.0	151.6
322	-0.995913	-0.995913	0.216215	1194.539013	0.000355	0.000355	1.5	151.5
323	-0.993361	-0.993361	0.027297	1205.271264	0.000496	0.000496	1.1	152.1
324	-0.994050	-0.994050	0.042814	1204.382459	0.000468	0.000468	1.1	151.9
325	-0.994760	-0.994760	0.000000	1206.837933	0.000305	0.000305	1.1	151.9
326	-0.996154	-0.996154	0.000000	1206.837933	0.000303	0.000303	1.1	150.4
327	-0.996533	-0.996533	0.012280	1206.132634	0.000246	0.000246	1.2	151.7
328	-0.995700	-0.995700	0.000000	1206.837933	0.000355	0.000355	1.1	151.8
329	-0.996443	-0.996443	0.000000	1206.837933	0.000346	0.000346	1.2	154.5
330	-0.994794	-0.994794	0.000000	1206.837933	0.000694	0.000694	1.1	151.8
331	-0.995921	-0.995921	0.080346	1202.238169	0.000324	0.000324	1.1	150.8
332	-0.994356	-0.994356	0.461593	1180.881402	0.000237	0.000237	1.1	151.9
333	-0.993710	-0.993710	0.435758	1182.304636	0.000677	0.000677	1.1	150.9
334	-0.996287	-0.996287	0.496600	1178.958387	0.000263	0.000263	1.1	152.1
335	-0.996366	-0.996366	0.261818	1191.976919	0.000300	0.000300	1.0	150.8
336	-0.996694	-0.996694	0.240460	1193.175528	0.000198	0.000198	1.1	151.5
337	-0.997114	-0.997114	0.160855	1197.664090	0.000296	0.000296	1.1	149.6
338	-0.996683	-0.996683	0.055704	1203.645150	0.000190	0.000190	1.1	151.8
339	-0.995796	-0.995796	0.000000	1206.837933	0.000417	0.000417	1.1	151.0
340	-0.996749	-0.996749	0.000000	1206.837933	0.000236	0.000236	1.0	149.9
341	-0.996040	-0.996040	0.010240	1206.249765	0.000358	0.000358	1.0	150.6
342	-0.995320	-0.995320	0.167561	1197.284696	0.000338	0.000338	1.5	151.7
343	-0.995557	-0.995557	0.118745	1200.052211	0.000324	0.000324	1.1	152.8
344	-0.995916	-0.995916	0.131306	1199.338888	0.000406	0.000406	1.1	150.6
345	-0.994867	-0.994867	0.042264	1204.413969	0.000413	0.000413	1.0	150.0
346	-0.996665	-0.996665	0.000000	1206.837933	0.000267	0.000267	1.1	151.1
347	-0.996913	-0.996913	0.154940	1197.998961	0.000232	0.000232	1.1	151.8
348	-0.996169	-0.996169	0.062054	1203.282290	0.000326	0.000326	1.1	150.9
349	-0.996492	-0.996492	0.000000	1206.837933	0.000418	0.000418	1.1	151.8
350	-0.996699	-0.996699	0.000000	1206.837933	0.000414	0.000414	1.0	150.7
351	-0.995728	-0.995728	0.000000	1206.837933	0.000237	0.000237	1.7	151.4
352	-0.996321	-0.996321	0.002534	1206.692326	0.000301	0.000301	1.2	150.9
353	-0.995386	-0.995386	0.007294	1206.418879	0.000540	0.000540	1.3	151.3
354	-0.996930	-0.996930	0.490924	1179.269762	0.000304	0.000304	1.1	151.1
355	-0.996092	-0.996092	0.472688	1180.271281	0.000251	0.000251	1.1	151.1
356	-0.995845	-0.995845	0.459366	1181.003961	0.000463	0.000463	1.1	153.8
357	-0.996203	-0.996203	0.346182	1187.266006	0.000316	0.000316	1.1	150.8
358	-0.993647	-0.993647	0.172956	1196.979601	0.000581	0.000581	1.1	151.8
359	-0.996995	-0.996995	0.404032	1184.057131	0.000179	0.000179	1.1	150.4
360	-0.995044	-0.995044	0.583077	1174.234654	0.000279	0.000279	1.1	151.9
361	-0.994068	-0.994068	0.589639	1173.877727	0.000963	0.000963	1.1	151.5
362	-0.997330	-0.997330	0.594845	1173.594745	0.000278	0.000278	1.1	152.4
363	-0.996955	-0.996955	1.062571	1148.714550	0.000284	0.000284	1.1	149.7
364	-0.997350	-0.997350	0.925444	1155.898904	0.000157	0.000157	1.1	150.6
365	-0.995720	-0.995720	0.924147	1155.967275	0.000434	0.000434	1.1	153.4
366	-0.996313	-0.996313	0.861862	1159.260658	0.000440	0.000440	1.2	150.2
367	-0.997067	-0.997067	0.690662	1168.410446	0.000271	0.000271	1.1	152.4
368	-0.996177	-0.996177	0.581537	1174.318403	0.000305	0.000305	1.0	150.2
369	-0.996511	-0.996511	0.445899	1181.745575	0.000495	0.000495	1.3	153.6
370	-0.996099	-0.996099	0.342701	1187.459669	0.000474	0.000474	1.0	149.8
371	-0.996699	-0.996699	0.136713	1199.032084	0.000396	0.000396	1.1	150.3
372	-0.995138	-0.995138	0.327475	1188.307437	0.000269	0.000269	1.2	151.8
373	-0.995551	-0.995551	0.301595	1189.751097	0.000473	0.000473	2.0	152.3
374	-0.996098	-0.996098	0.133187	1199.232131	0.000312	0.000312	1.1	150.7
375	-0.997215	-0.997215	0.228497	1193.847916	0.000344	0.000344	1.1	151.4
376	-0.995996	-0.995996	0.157470	1197.855702	0.000365	0.000365	1.1	150.8
377	-0.996745	-0.996745	0.040168	1204.533959	0.000291	0.000291	1.1	152.1
378	-0.997082	-0.997082	0.000000	1206.837933	0.000282	0.000282	1.0	151.2
379	-0.997029	-0.997029	0.000000	1206.837933	0.000234	0.000234	1.5	151.5
380	-0.995813	-0.995813	0.000000	1206.837933	0.000471	0.000471	1.0	150.5
381	-0.996390	-0.996390	0.397222	1184.433996	0.000241	0.000241	1.0	131.1
382	-0.996465	-0.996465	0.615769	1172.458722	0.000219	0.000219	0.9	132.9
383	-0.995803	-0.995803	0.561270	1175.422277	0.000290	0.000290	0.9	133.8
384	-0.996293	-0.996293	0.581217	1174.335848	0.000339	0.000339	1.0	133.3
385	-0.996612	-0.996612	0.411659	1183.635350	0.000264	0.000264	0.8	131.8
386	-0.995111	-0.995111	0.739766	1165.771339	0.000426	0.000426	1.1	148.2
387	-0.994742	-0.994742	0.900915	1157.193491	0.000893	0.000893	1.1	151.1
388	-0.995779	-0.995779	0.657741	1170.186540	0.000381	0.000381	1.1	151.5
389	-0.997186	-0.997186	1.629682	1119.927210	0.000188	0.000188	1.1	152.4
390	-0.996473	-0.996473	1.489622	1126.901844	0.000167	0.000167	1.1	151.0
391	-0.995381	-0.995381	1.428417	1129.977049	0.000358	0.000358	1.1	150.7
392	-0.997083	-0.997083	1.494030	1126.681038	0.000267	0.000267	1.1	151.7
393	-0.996253	-0.996253	1.606959	1121.052908	0.000337	0.000337	1.1	149.8
394	-0.997473	-0.997473	1.447326	1129.025181	0.000182	0.000182	1.1	150.7
395	-0.997148	-0.997148	1.382381	1132.301188	0.000226	0.000226	1.1	151.0
396	-0.997431	-0.997431	1.310933	1135.927217	0.000222	0.000222	1.1	153.5
397	-0.995331	-0.995331	1.254938	1138.785335	0.000570	0.000570	1.1	150.1
398	-0.996620	-0.996620	1.469719	1127.900031	0.000216	0.000216	1.1	150.3
399	-0.997994	-0.997994	1.420308	1130.385731	0.000158	0.000158	1.0	149.8
